,Tweet,Polarity,Location,Source,Followers,Friends,Active Since,Lat,Lng,Sentiment,Popularity
0,Barack Obama Joins Forces With Nancy Pelosi and Chuck Schumer to Save the Democratic Party https://t.co/79ulln3c5K via @truthuncensore,0.0,colorado,Web,37,225,8,38.9985427856445,-105.547813415527,O,Unpopular
1,RT @hermanntertsch: A Obama le dieron el Premio Nobel de la Paz por ningún mérito y únicamente la condición de ser algo negro y un aventaja…,0.0,Badalona,Android,24,46,5,41.4504890441895,2.24492001533508,O,Unpopular
2,RT @The_Trump_Train: @realDonaldTrump Russia is the biggest ally of the Democrats... They lined crooked Hillary and Obama’s pockets!,0.0,Deep South Texas,iPhone,3004,2975,1,31.4627552032471,-99.3330307006836,O,Popular
3,RT @Jamierodr10: This is what Obama has to say about Russia. I didn’t hear any complaining then.. @chuckschumer @NancyPelosi Let this go vi…,0.0,,iPhone,31285,27806,2,18.7931900024414,100.779800415039,O,Popular
4,@soledadobrien Obama wasnt.  And neither is any other country.  If im wrong tell me exactly how.,-0.125,,iPhone,190,761,9,18.7931900024414,100.779800415039,N,Unpopular
5,"@JohnFugelsang But, but Obama and Hillary!",0.0,🇺🇸🏳️‍🌈,iPhone,72788,69517,9,,,O,Popular
6,"RT @mschlapp: If you worked for Obama and you used confidential info to help ""stop"" Trump how can you argue you deserve to keep your sec cl…",-0.1,,,1908,1538,1,18.7931900024414,100.779800415039,N,Popular
7,"RT @WayneDupreeShow: Clapper Responds To Possibility His Security Clearance Could Be Revoked — Petty Thing To Do 

This is the sound of an…",0.4,,Android,345,69,2,18.7931900024414,100.779800415039,P,Popular
8,"RT @PoliteMelanie: You know, going from Obama to Trump was like going from an iPhone to 2 cups and a string.",0.0,,Web,2935,5001,5,18.7931900024414,100.779800415039,O,Popular
9,"RT @EdwardD02357424: @dbongino @dbongino   its a smoke screen it's to get away with a crrime. $400,000,000 had. Russia tracking money trans…",0.0,"Clover, SC",Android,3154,3265,1,35.111198425293,-81.2265930175781,O,Popular
10,"RT @DafnaLinzer: This @jonkarl review is everything. In his book, Spicer refers to the ""michael steele dossier,"" recounts a WH press confer…",0.0,"New York, NY",iPhone,284487,19510,10,40.7145500183105,-74.0071411132812,O,Popular
11,"RT @PoliteMelanie: You know, going from Obama to Trump was like going from an iPhone to 2 cups and a string.",0.0,"Brooklyn, NY",Web,210,1399,2,40.6924514770508,-73.9903564453125,O,Unpopular
12,"RT @KimDotcom: I have the case to put Obama, Biden and Clinton into a Court room to answer for their corruption and criminal abuse of power…",-0.4,"Virginia, USA",Android,238,377,3,37.5127868652344,-78.6980972290039,N,Unpopular
13,RT @Thomas1774Paine: Obama-Appointed Judge Rules In Favor of Convicted Terrorist https://t.co/nRx2CKSF9k,0.0,,iPhone,77,113,0,18.7931900024414,100.779800415039,O,Unpopular
14,"RT @Ian56789: Jeff Sessions is part of the Swamp &amp; has been for decades.
He's not going to lock up any protected political insiders like Hi…",0.0,,Web,1168,1702,6,18.7931900024414,100.779800415039,O,Popular
15,RT @Thomas1774Paine: Obama Crony Caught Up in Massive Fraud Scandal Dating Back to Barrack’s Reign https://t.co/VJpWuyjvGf,0.0,"Arizona, USA",Android,126,203,0,34.293083190918,-111.664695739746,O,Unpopular
16,"RT @SenSanders: No, Obama improved relations with Iran. Are YOU, President Trump, planning to start a war to get re-elected? https://t.co/M…",0.0,Bruxelles (Wavre),Android,318,612,7,50.8443908691406,4.35609006881714,O,Popular
17,"RT @AmericanVoterUS: ""PLANTE: Mr. President, when did you first learn that Hillary Clinton used an email system outside the U.S. government…",0.125,"Chula Vista, CA",Web,402,219,9,32.6408996582031,-117.084281921387,P,Popular
18,"RT @FoxNews: .@RepMattGaetz: ""My fear is that [John] Brennan is a lot more involved than the American people know, and I think that the pre…",0.25,"Kansas, USA",Web,129,89,5,38.4847259521484,-98.3801727294922,P,Unpopular
19,"Why is Michelle Obama grey in colour on her new painting? 
@MosheNdiki your mom

If you think its bad retweet, for… https://t.co/a2k99w1W4T",-0.2045454545454545,Eastern cape,Android,80,83,6,-32.1532287597656,26.4468784332275,N,Unpopular
20,"RT @realDonaldTrump: ....and the DOJ, FBI and Obama Gang need to be held to account. Source #1 was the major source. Avoided talking about…",0.0625,,Android,18,126,1,18.7931900024414,100.779800415039,P,Unpopular
